id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
401014978,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,3815,M. M. Roberts Stadium,2572,Southern Mississippi,Conference USA,55,14,27,7,7,0.999495222,2296,Jackson State,,7,0,0,7,0,0.000504778,0.188652225
401012254,2018,1,regular,2018-09-01T23:30:00.000Z,,FALSE,FALSE,0,3693,Davis Wade Stadium,344,Mississippi State,SEC,63,21,14,14,14,0.999995596,2617,Stephen F. Austin,,6,0,3,3,0,4.40448E-06,0.025406783
401012888,2018,1,regular,2018-09-01T23:30:00.000Z,,FALSE,FALSE,0,3855,Notre Dame Stadium,87,Notre Dame,FBS Independents,24,14,7,3,0,0.927830431,130,Michigan,Big Ten,17,0,10,0,7,0.072169569,4.244650729
401012259,2018,1,regular,2018-09-01T23:30:00.000Z,,FALSE,FALSE,0,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,35,7,7,7,14,0.999620333,2393,Middle Tennessee,Conference USA,7,7,0,0,0,0.000379667,3.603433921
401014980,2018,1,regular,2018-09-01T23:30:00.000Z,,FALSE,FALSE,0,3946,Sun Bowl Stadium,2638,UTEP,Conference USA,10,0,10,0,0,0.006031036,2464,Northern Arizona,,30,10,7,13,0,0.993968964,3.044880152
401014976,2018,1,regular,2018-09-01T23:30:00.000Z,,FALSE,FALSE,0,3825,Apogee Stadium,249,North Texas,Conference USA,46,14,6,16,10,0.99873733,2567,SMU,American Athletic,23,0,0,0,23,0.00126267,2.008298858
401012249,2018,1,regular,2018-09-01T23:30:00.000Z,,FALSE,FALSE,0,3634,Ben Hill Griffin Stadium,57,Florida,SEC,53,10,28,13,2,0.999825784,2127,Charleston Southern,,6,0,0,0,6,0.000174216,0.044816887
401012246,2018,1,regular,2018-09-02T00:00:00.000Z,,TRUE,FALSE,57280,4013,Camping World Stadium,333,Alabama,SEC,51,14,14,16,7,0.999925569,97,Louisville,ACC,14,0,0,7,7,7.44314E-05,0.394188332
401012681,2018,1,regular,2018-09-02T00:00:00.000Z,,FALSE,FALSE,0,3626,Autzen Stadium,2483,Oregon,Pac-12,58,7,30,14,7,0.999839367,189,Bowling Green,Mid-American,24,10,7,7,0,0.000160633,0.738405285
401013026,2018,1,regular,2018-09-02T00:00:00.000Z,,FALSE,FALSE,0,4727,McLane Stadium,239,Baylor,Big 12,55,17,21,10,7,0.999829572,2000,Abilene Christian,,27,7,13,7,0,0.000170428,0.146911049
